1,2,108,22,0,0,1,1,0,138,1,1.05,0.95
2,2,97,20,0,0,1,1,0,138,1,1.05,0.95
3,1,180,37,0,0,1,1,0,138,1,1.05,0.95
4,1,74,15,0,0,1,1,0,138,1,1.05,0.95
5,1,71,14,0,0,1,1,0,138,1,1.05,0.95
6,1,136,28,0,-100,2,1,0,138,1,1.05,0.95
7,2,125,25,0,0,2,1,0,138,1,1.05,0.95
8,1,171,35,0,0,2,1,0,138,1,1.05,0.95
9,1,175,36,0,0,1,1,0,138,1,1.05,0.95
10,1,195,40,0,0,2,1,0,138,1,1.05,0.95
11,1,0,0,0,0,3,1,0,230,1,1.05,0.95
12,1,0,0,0,0,3,1,0,230,1,1.05,0.95
13,3,265,54,0,0,3,1,0,230,1,1.05,0.95
14,2,194,39,0,0,3,1,0,230,1,1.05,0.95
15,2,317,64,0,0,4,1,0,230,1,1.05,0.95
16,2,100,20,0,0,4,1,0,230,1,1.05,0.95
17,1,0,0,0,0,4,1,0,230,1,1.05,0.95
18,2,333,68,0,0,4,1,0,230,1,1.05,0.95
19,1,181,37,0,0,3,1,0,230,1,1.05,0.95
20,1,128,26,0,0,3,1,0,230,1,1.05,0.95
21,2,0,0,0,0,4,1,0,230,1,1.05,0.95
22,2,0,0,0,0,4,1,0,230,1,1.05,0.95
23,2,0,0,0,0,3,1,0,230,1,1.05,0.95
24,1,0,0,0,0,4,1,0,230,1,1.05,0.95
